trade_date,ts_code,name,close,pre_close,amount,vol,turnover_rate,etf_share,etf_aum,unit_nav,aum_source,turnover_rate_source,pct_1d,pct_3d,pct_5d,turnover_ma10,turnover_change_degree,aum_ma10,aum_change_rate,share_ma10,share_change_rate,highest_price_date
20260122,159100.SZ,巴西ETF,1.077,1.027,65135.988,607219.18,1686.5000669982096,36004.6935,39518.751585599995,1.0976,proxy_unit_nav_share,proxy_vol_share,0.04868549172346648,0.06422924901185767,0.056918547595682156,919.8662961963146,1.8334186978824614,38708.462457325004,1.0209331261650683,37534.6935,0.9592377116387003,20260122
20260123,159100.SZ,巴西ETF,1.102,1.077,51135.929,463795.4,1498.303964792932,30954.6935,34802.361902050005,1.1243,proxy_unit_nav_share,proxy_vol_share,0.0232126276694522,0.08571428571428585,0.07512195121951248,1007.9336409830701,1.4865105239781342,38124.906771645,0.9128510690007482,36634.6935,0.8449557111758011,20260123
20260126,159100.SZ,巴西ETF,1.134,1.102,60601.26,539163.51,1758.8285787297139,30654.6935,34477.333779450004,1.1247,proxy_unit_nav_share,proxy_vol_share,0.029038112522685955,0.10418695228821817,0.12055335968379444,1120.2778117500925,1.5699932287171523,37539.34516739,0.9184319445561365,35714.6935,0.8583216176837692,20260126
20260127,159100.SZ,巴西ETF,1.124,1.134,48827.789,433735.25,1412.602441382455,30704.6935,35399.44113615,1.1529,proxy_unit_nav_share,proxy_vol_share,-0.008818342151675318,0.04363974001857018,0.1073891625615766,1218.3646707745297,1.1594249860219978,37134.585131190004,0.9532741785343759,34859.69350000001,0.8808079021119332,20260126
20260128,159100.SZ,巴西ETF,1.189,1.124,648554.676,5364466.81,17442.758159823636,30754.6935,36388.953349200005,1.1832,proxy_unit_nav_share,proxy_vol_share,0.057829181494661874,0.07894736842105265,0.15774099318403123,2924.3336924887617,5.9646948652357565,36963.266647685,0.9844625935267287,34219.69350000001,0.8987425179597238,20260128
20260129,159100.SZ,巴西ETF,1.308,1.189,1202975.544,9413508.58,30558.682818902256,30804.6935,36146.2273529,1.1734,proxy_unit_nav_share,proxy_vol_share,0.1000841042893188,0.1534391534391535,0.21448467966573825,5742.8646981274605,5.321156674449658,36800.011066470004,0.9822341435607422,33604.6935,0.916678305665844,20260129
20260130,159100.SZ,巴西ETF,1.35,1.308,3226459.07,23773734.25,76677.85604782708,31004.6935,35667.79940240001,1.1504,proxy_unit_nav_share,proxy_vol_share,0.032110091743119185,0.20106761565836284,0.22504537205081676,13324.179944280351,5.754789890896246,36590.02133101,0.9747958078442438,33009.6935,0.9392602660791141,20260130
20260202,159100.SZ,巴西ETF,1.215,1.35,2641101.424,20135702.54,64527.801050184964,31204.6935,36078.8666247,1.1562,proxy_unit_nav_share,proxy_vol_share,-0.09999999999999998,0.021867115222876432,0.07142857142857162,19658.494063412953,3.282438667073675,36426.93575456001,0.9904447321013974,32444.6935,0.9617811153001029,20260130
20260203,159100.SZ,巴西ETF,1.229,1.215,2609308.948,21274872.54,67744.24510782122,31404.6935,37104.64537025,1.1815,proxy_unit_nav_share,proxy_vol_share,0.011522633744855959,-0.060397553516819524,0.09341637010676163,26370.920482830716,2.5688995252148055,36417.668738485,1.0188638277946394,31959.6935,0.9826343766406896,20260130
20260204,159100.SZ,巴西ETF,1.229,1.229,1254606.626,10109069.41,31985.975152709518,31604.6935,36525.54427795,1.1557,proxy_unit_nav_share,proxy_vol_share,0.0,-0.08962962962962961,0.033641715727502186,29529.355338917194,1.083192463418079,36210.992478065,1.0086866384586266,31509.6935,1.0030149452263,20260130
20260205,159100.SZ,巴西ETF,1.167,1.229,496924.12,4180533.95,13144.393138075673,31804.6935,36661.27019745,1.1527,proxy_unit_nav_share,proxy_vol_share,-0.05044751830756722,-0.03950617283950619,-0.10779816513761464,30675.14464602495,0.4285030531968166,35925.244339250006,1.020487706395245,31089.6935,1.02299797519715,20260130
20260206,159100.SZ,巴西ETF,1.193,1.167,1982399.842,16473917.51,51473.44251242399,32004.6935,37144.647276100004,1.1606,proxy_unit_nav_share,proxy_vol_share,0.02227934875749793,-0.029292107404393808,-0.11629629629629634,35672.65850078805,1.4429382242785995,36159.472876655,1.0272452644098427,31194.693500000005,1.025965954754452,20260130
20260209,159100.SZ,巴西ETF,1.212,1.193,826253.024,6825193.1,21193.162729525742,32204.6935,38156.1208588,1.1848,proxy_unit_nav_share,proxy_vol_share,0.0159262363788768,-0.013832384052074986,-0.0024691358024692134,37616.091915867655,0.5634068200632453,36527.351584590004,1.0445904015361775,31349.693500000005,1.0272729939130025,20260130
20260210,159100.SZ,巴西ETF,1.222,1.212,672241.811,5485393.44,16927.774490445343,32404.6935,38279.66443155,1.1813,proxy_unit_nav_share,proxy_vol_share,0.008250825082508184,0.04712939160239915,-0.005695687550854478,39167.609120773945,0.43218809803397196,36815.37391413,1.0397738868776774,31519.6935,1.0280776841944863,20260130
20260211,159100.SZ,巴西ETF,1.218,1.222,520920.74,4298315.22,13183.118007228008,32604.6935,39448.41866565,1.2099,proxy_unit_nav_share,proxy_vol_share,-0.00327332242225864,0.020955574182732528,-0.008950366151342704,38741.64510551438,0.34028286541067815,37121.320445775,1.0626889936007073,31704.6935,1.0283869642202976,20260130
